,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
1060,Andorra,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1061,Andorra,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1062,Gibraltar,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1063,Gibraltar,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1064,Gibraltar,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1065,Gibraltar,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1066,Gibraltar,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1067,Gibraltar,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1068,Gibraltar,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1069,Gibraltar,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1070,Gibraltar,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1071,Gibraltar,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1072,Gibraltar,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1073,Gibraltar,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1074,Gibraltar,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1075,Gibraltar,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1076,Gibraltar,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1077,Gibraltar,More than 10 years,65 and over,Persons,Arthritis,41.0,129.0,31.7829457364341,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1078,Gibraltar,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1079,Gibraltar,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
1080,Holy See,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1081,Holy See,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1082,Holy See,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1083,Holy See,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1084,Holy See,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1085,Holy See,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1086,Holy See,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1087,Holy See,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1088,Holy See,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1089,Holy See,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1090,Holy See,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1091,Holy See,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1092,Holy See,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1093,Holy See,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1094,Holy See,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1095,Holy See,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1096,Holy See,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1097,Holy See,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Latin,Not specified,Southern and Eastern Europe,Southern Europe
1098,Italy,0–10 years,00–44,Persons,Arthritis,59.0,15565.0,0.37905557340186,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1099,Italy,0–10 years,00–44,Male,Arthritis,34.0,9133.0,0.37227636045111,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1100,Italy,0–10 years,00–44,Female,Arthritis,25.0,6432.0,0.3886815920398,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1101,Italy,0–10 years,45–64,Persons,Arthritis,37.0,1676.0,2.20763723150358,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1102,Italy,0–10 years,45–64,Male,Arthritis,19.0,1035.0,1.83574879227053,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1103,Italy,0–10 years,45–64,Female,Arthritis,18.0,641.0,2.80811232449297,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1104,Italy,0–10 years,65 and over,Persons,Arthritis,37.0,266.0,13.9097744360902,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1105,Italy,0–10 years,65 and over,Male,Arthritis,16.0,137.0,11.6788321167883,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1106,Italy,0–10 years,65 and over,Female,Arthritis,21.0,129.0,16.2790697674418,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1107,Italy,More than 10 years,00–44,Persons,Arthritis,80.0,5670.0,1.41093474426807,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1108,Italy,More than 10 years,00–44,Male,Arthritis,44.0,3277.0,1.34269148611534,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1109,Italy,More than 10 years,00–44,Female,Arthritis,36.0,2393.0,1.50438779774341,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1110,Italy,More than 10 years,45–64,Persons,Arthritis,2997.0,25578.0,11.7171006333567,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1111,Italy,More than 10 years,45–64,Male,Arthritis,1147.0,13675.0,8.38756855575868,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1112,Italy,More than 10 years,45–64,Female,Arthritis,1850.0,11903.0,15.5423002604385,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1113,Italy,More than 10 years,65 and over,Persons,Arthritis,33615.0,101800.0,33.0206286836935,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1114,Italy,More than 10 years,65 and over,Male,Arthritis,11551.0,49254.0,23.4519023835627,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1115,Italy,More than 10 years,65 and over,Female,Arthritis,22064.0,52546.0,41.9898755376241,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1116,Malta,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1117,Malta,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1118,Malta,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1119,Malta,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1120,Malta,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1121,Malta,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1122,Malta,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1123,Malta,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1124,Malta,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1125,Malta,More than 10 years,00–44,Persons,Arthritis,24.0,1006.0,2.38568588469184,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1126,Malta,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1127,Malta,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1128,Malta,More than 10 years,45–64,Persons,Arthritis,962.0,6321.0,15.219110900174,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1129,Malta,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1130,Malta,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1131,Malta,More than 10 years,65 and over,Persons,Arthritis,8179.0,24922.0,32.8183933873685,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1132,Malta,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1133,Malta,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
1134,Portugal,0–10 years,00–44,Persons,Arthritis,12.0,1592.0,0.7537688442211,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1135,Portugal,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1136,Portugal,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1137,Portugal,0–10 years,45–64,Persons,Arthritis,11.0,326.0,3.37423312883435,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1138,Portugal,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1139,Portugal,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1140,Portugal,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1141,Portugal,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1142,Portugal,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1143,Portugal,More than 10 years,00–44,Persons,Arthritis,55.0,2567.0,2.14257888585897,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1144,Portugal,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1145,Portugal,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1146,Portugal,More than 10 years,45–64,Persons,Arthritis,670.0,5776.0,11.5997229916897,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1147,Portugal,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1148,Portugal,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1149,Portugal,More than 10 years,65 and over,Persons,Arthritis,1627.0,5700.0,28.5438596491228,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1150,Portugal,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1151,Portugal,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
1152,San Marino,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1153,San Marino,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1154,San Marino,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1155,San Marino,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1156,San Marino,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1157,San Marino,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1158,San Marino,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1159,San Marino,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1160,San Marino,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1161,San Marino,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1162,San Marino,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1163,San Marino,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1164,San Marino,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1165,San Marino,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1166,San Marino,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1167,San Marino,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1168,San Marino,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1169,San Marino,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Italian,Not specified,Southern and Eastern Europe,Southern Europe
1170,Spain,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1171,Spain,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1172,Spain,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1173,Spain,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1174,Spain,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1175,Spain,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1176,Spain,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1177,Spain,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1178,Spain,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1179,Spain,More than 10 years,00–44,Persons,Arthritis,24.0,1357.0,1.76860722181282,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1180,Spain,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1181,Spain,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1182,Spain,More than 10 years,45–64,Persons,Arthritis,439.0,4039.0,10.8690269868779,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1183,Spain,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
1184,Spain,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
